"Date","Price","Open","High","Low","Vol.","Change %"
"24-12-2024","1,815.29","1,851.38","1,853.73","1,806.06","2.92M","-1.78%"
"23-12-2024","1,848.17","1,865.39","1,880.05","1,807.10","4.44M","0.10%"
"20-12-2024","1,846.35","1,939.01","1,944.65","1,836.16","4.85M","-4.29%"
"19-12-2024","1,929.16","1,832.08","1,932.86","1,817.09","5.99M","2.82%"
"18-12-2024","1,876.20","1,914.36","1,915.79","1,852.73","4.06M","-1.67%"
"17-12-2024","1,907.99","1,889.44","1,921.02","1,883.39","4.32M","1.13%"
"16-12-2024","1,886.64","1,883.71","1,910.68","1,872.05","4.87M","0.51%"
"13-12-2024","1,877.03","1,867.06","1,883.38","1,825.75","5.32M","0.43%"
"12-12-2024","1,868.95","1,861.94","1,904.60","1,856.08","6.05M","1.05%"
"11-12-2024","1,849.47","1,818.42","1,858.36","1,807.78","4.76M","1.57%"
"10-12-2024","1,820.87","1,827.75","1,843.97","1,782.80","7.25M","-0.01%"
"09-12-2024","1,821.12","1,791.11","1,868.04","1,768.76","12.26M","1.31%"
"06-12-2024","1,797.59","1,759.28","1,813.76","1,747.67","18.89M","3.88%"
"05-12-2024","1,730.45","1,531.95","1,748.80","1,529.45","35.84M","13.62%"
"04-12-2024","1,522.97","1,511.07","1,530.62","1,494.18","4.30M","1.29%"
"03-12-2024","1,503.57","1,522.96","1,540.28","1,496.48","3.83M","-1.10%"
"02-12-2024","1,520.24","1,552.27","1,561.56","1,509.50","4.74M","-2.29%"
"29-11-2024","1,555.85","1,536.61","1,568.53","1,527.79","6.71M","2.12%"
"28-11-2024","1,523.61","1,508.30","1,532.28","1,489.06","4.79M","2.18%"
"27-11-2024","1,491.06","1,484.98","1,498.64","1,425.69","8.96M","1.02%"
"26-11-2024","1,476.02","1,531.62","1,551.94","1,463.00","13.15M","-5.46%"
"25-11-2024","1,561.20","1,612.23","1,650.54","1,528.00","36.85M","-0.70%"
"22-11-2024","1,572.24","1,573.92","1,593.81","1,552.64","4.59M","0.53%"
"21-11-2024","1,563.98","1,578.92","1,604.90","1,522.29","7.24M","-0.68%"
"19-11-2024","1,574.71","1,581.58","1,618.23","1,563.46","6.99M","0.45%"
"18-11-2024","1,567.59","1,520.29","1,578.92","1,489.60","7.52M","3.48%"
"14-11-2024","1,514.90","1,498.64","1,553.94","1,497.31","5.64M","1.25%"
"13-11-2024","1,496.24","1,578.10","1,595.24","1,482.89","10.94M","-3.98%"
"12-11-2024","1,558.33","1,557.27","1,593.54","1,539.30","5.43M","1.19%"
"11-11-2024","1,540.00","1,557.27","1,581.50","1,518.96","5.96M","-1.51%"
"08-11-2024","1,563.56","1,633.55","1,655.20","1,549.04","9.58M","-3.66%"
"07-11-2024","1,622.91","1,570.77","1,631.35","1,565.60","9.63M","4.00%"
"06-11-2024","1,560.45","1,548.27","1,603.90","1,538.43","9.58M","1.77%"
"05-11-2024","1,533.27","1,480.65","1,540.61","1,466.43","8.04M","4.29%"
"04-11-2024","1,470.21","1,480.32","1,518.96","1,456.34","6.47M","-1.12%"
"01-11-2024","1,486.87","1,493.08","1,506.97","1,470.51","1.53M","-0.04%"
"31-10-2024","1,487.52","1,454.00","1,496.41","1,437.38","5.85M","2.88%"
"30-10-2024","1,445.89","1,430.02","1,506.97","1,418.56","9.41M","1.32%"
"29-10-2024","1,427.04","1,394.38","1,432.35","1,378.09","4.74M","2.85%"
"28-10-2024","1,387.45","1,372.39","1,415.03","1,361.43","5.33M","2.52%"
